罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,現金被害の有無
窃盗,車上ねらい,水戸,内原交番,082015,茨城県,水戸市,木葉下町,2021-01-14,16,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,水戸,内原交番,082015,茨城県,水戸市,加倉井町,2021-01-11,18,一戸建住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,水戸,内原交番,082015,茨城県,水戸市,加倉井町,2021-06-13,19,一戸建住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,水戸,内原交番,082015,茨城県,水戸市,開江町,2021-10-21,08,一戸建住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,水戸,内原交番,082015,茨城県,水戸市,開江町,2021-11-01,11,道路上,その他,施錠せず,あり
窃盗,車上ねらい,水戸,内原交番,082015,茨城県,水戸市,鯉淵町,2021-07-17,07,道路上,その他,施錠せず,なし
窃盗,車上ねらい,水戸,内原交番,082015,茨城県,水戸市,杉崎町,2020-01-11,12,一戸建住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,水戸,内原交番,082015,茨城県,水戸市,杉崎町,2021-01-02,04,一戸建住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,水戸,内原交番,082015,茨城県,水戸市,中原町,2021-01-23,18,一戸建住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,水戸,内原交番,082015,茨城県,水戸市,三湯町,2021-01-16,16,一戸建住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,水戸,内原交番,082015,茨城県,水戸市,三湯町,2021-01-16,17,一戸建住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,水戸,内原交番,082015,茨城県,水戸市,内原２丁目,2021-11-30,19,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,水戸,千波町交番,082015,茨城県,水戸市,笠原町,2021-03-09,21,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,水戸,千波町交番,082015,茨城県,水戸市,千波町,2021-01-04,13,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,水戸,千波町交番,082015,茨城県,水戸市,千波町,2021-02-17,13,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,水戸,千波町交番,082015,茨城県,水戸市,千波町,2021-02-17,13,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,水戸,千波町交番,082015,茨城県,水戸市,千波町,2021-06-15,20,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,水戸,千波町交番,082015,茨城県,水戸市,千波町,2021-11-06,20,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,水戸,千波町交番,082015,茨城県,水戸市,千波町,2021-12-02,21,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,水戸,千波町交番,082015,茨城県,水戸市,見川町,2021-07-02,18,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,水戸,千波町交番,082015,茨城県,水戸市,見川町,2021-07-20,03,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,水戸,双葉台駐在所,082015,茨城県,水戸市,双葉台４丁目,2021-12-09,02,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,水戸,双葉台駐在所,082015,茨城県,水戸市,双葉台５丁目,2021-12-08,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,水戸,大工町交番,082015,茨城県,水戸市,泉町３丁目,2021-08-01,00,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,水戸,大洗地区交番,083097,茨城県,大洗町,磯浜町,2021-03-16,11,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,水戸,大洗地区交番,083097,茨城県,大洗町,磯浜町,2021-03-17,22,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,水戸,大洗地区交番,083097,茨城県,大洗町,磯浜町,2021-06-26,22,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,水戸,大洗地区交番,083097,茨城県,大洗町,磯浜町,2021-08-20,13,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,水戸,大洗地区交番,083097,茨城県,大洗町,磯浜町,2021-10-15,11,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,水戸,大洗地区交番,083097,茨城県,大洗町,大貫町,2021-04-13,14,一戸建住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,水戸,大洗地区交番,083097,茨城県,大洗町,大貫町,2021-06-10,05,その他,その他,施錠した,あり
窃盗,車上ねらい,水戸,大洗地区交番,083097,茨城県,大洗町,大貫町,2021-06-18,12,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,水戸,大洗地区交番,083097,茨城県,大洗町,大貫町,2021-06-28,03,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,水戸,大洗地区交番,083097,茨城県,大洗町,大貫町,2021-06-28,04,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,水戸,大洗地区交番,083097,茨城県,大洗町,大貫町,2021-07-01,04,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,水戸,大洗地区交番,083097,茨城県,大洗町,大貫町,2021-07-02,04,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,水戸,大洗地区交番,083097,茨城県,大洗町,大貫町,2021-07-31,11,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,水戸,大洗地区交番,083097,茨城県,大洗町,大貫町,2021-11-18,08,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,水戸,末広町交番,082015,茨城県,水戸市,愛宕町,2021-02-17,21,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,水戸,末広町交番,082015,茨城県,水戸市,上水戸２丁目,2021-06-27,21,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,水戸,末広町交番,082015,茨城県,水戸市,ちとせ２丁目,2021-06-30,19,一戸建住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,水戸,末広町交番,082015,茨城県,水戸市,袴塚１丁目,2021-10-23,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,水戸,末広町交番,082015,茨城県,水戸市,八幡町,2021-07-03,16,道路上,その他,施錠せず,なし
窃盗,車上ねらい,水戸,末広町交番,082015,茨城県,水戸市,堀町,2021-08-11,12,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,水戸,末広町交番,082015,茨城県,水戸市,堀町,2021-11-01,20,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,水戸,末広町交番,082015,茨城県,水戸市,松本町,2021-06-27,19,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,水戸,末広町交番,082015,茨城県,水戸市,渡里町,2021-05-27,11,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,水戸,末広町交番,082015,茨城県,水戸市,渡里町,2021-08-03,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,水戸,末広町交番,082015,茨城県,水戸市,渡里町,2021-11-01,07,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,水戸,末広町交番,082015,茨城県,水戸市,渡里町,2021-11-01,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,水戸,末広町交番,082015,茨城県,水戸市,渡里町,2021-11-01,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,水戸,東台交番,082015,茨城県,水戸市,城東３丁目,2021-02-27,09,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,水戸,東台交番,082015,茨城県,水戸市,城東３丁目,2021-12-02,18,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,水戸,水戸駅北口交番,082015,茨城県,水戸市,三の丸１丁目,2021-12-28,11,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,水戸,水戸駅南口交番,082015,茨城県,水戸市,柵町１丁目,2021-03-09,19,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,水戸,水戸駅南口交番,082015,茨城県,水戸市,柵町１丁目,2021-04-06,20,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,水戸,水戸駅南口交番,082015,茨城県,水戸市,桜川１丁目,2020-12-25,23,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,水戸,水戸駅南口交番,082015,茨城県,水戸市,城南３丁目,2021-03-11,03,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,水戸,水戸駅南口交番,082015,茨城県,水戸市,千波町,2021-12-14,14,道路上,その他,施錠せず,あり
窃盗,車上ねらい,水戸,水戸駅南口交番,082015,茨城県,水戸市,宮町１丁目,2021-03-10,17,道路上,その他,施錠せず,なし
